Date,Open,High,Low,Close,Adj Close,Volume
2006-09-20,48.299999,48.820000,48.299999,48.810001,41.747684,10800
2006-09-21,48.900002,48.900002,48.389999,48.529999,41.508186,10400
2006-09-22,48.310001,48.439999,48.240002,48.380001,41.379906,4700
2006-09-25,48.650002,48.970001,48.520000,48.860001,41.790447,33900
2006-09-26,48.950001,49.150002,48.770000,49.080002,42.027649,16200
2006-09-27,49.200001,49.230000,48.889999,49.049999,42.001961,20600
2006-09-28,49.200001,49.230000,48.770000,49.090000,42.036201,11000
2006-09-29,49.139999,49.189999,48.820000,48.820000,41.805004,7500
2006-10-02,48.779999,49.160000,48.750000,48.889999,41.864941,3900
2006-10-03,48.860001,49.529999,48.599998,49.270000,42.190346,35400
2006-10-04,49.169998,49.840000,49.099998,49.799999,42.644180,18200
2006-10-05,49.950001,50.150002,49.730000,50.139999,42.935345,26900
2006-10-06,50.049999,50.209999,49.759998,50.130001,42.926773,12600
2006-10-09,50.200001,50.290001,49.939999,50.270000,43.046658,18800
2006-10-10,50.400002,50.400002,50.119999,50.369999,43.132290,8400
2006-10-11,50.349998,50.349998,49.950001,50.290001,43.063770,21500
2006-10-12,50.400002,51.270000,50.400002,51.270000,43.902950,60400
2006-10-13,51.250000,51.330002,51.020000,51.279999,43.911514,33400
2006-10-16,51.299999,51.689999,51.299999,51.669998,44.245495,17800
2006-10-17,51.549999,51.549999,50.930000,51.029999,43.697456,18400
2006-10-18,51.259998,51.450001,50.900002,51.029999,43.697456,37000
2006-10-19,50.950001,50.950001,50.529999,50.740002,43.449120,13600
2006-10-20,50.849998,50.849998,50.340000,50.389999,43.149414,9900
2006-10-23,50.380001,50.630001,50.200001,50.590000,43.320663,6500
2006-10-24,50.700001,50.830002,50.590000,50.830002,43.526199,17200
2006-10-25,50.900002,50.900002,50.160000,50.310001,43.080910,82400
2006-10-26,50.549999,50.549999,49.619999,50.480000,43.226490,34400
2006-10-27,50.450001,50.590000,50.099998,50.189999,42.978138,18900
2006-10-30,50.200001,50.939999,50.200001,50.849998,43.543312,55900
2006-10-31,50.849998,50.849998,50.490002,50.700001,43.414867,81900
2006-11-01,50.770000,51.000000,50.410000,50.419998,43.175114,9300
2006-11-02,50.250000,50.290001,50.000000,50.020000,42.832592,42100
2006-11-03,50.299999,50.360001,49.980000,50.139999,42.935345,6300
2006-11-06,50.650002,51.029999,50.549999,50.930000,43.611816,17500
2006-11-07,50.980000,51.590000,50.980000,51.380001,43.997166,32100
2006-11-08,50.849998,51.259998,50.639999,51.029999,43.697456,122900
2006-11-09,51.250000,51.299999,50.650002,50.650002,43.372044,37000
2006-11-10,50.799999,51.090000,50.790001,50.959999,43.637512,7600
2006-11-13,51.099998,51.500000,51.099998,51.360001,43.980030,13400
2006-11-14,51.599998,52.040001,51.369999,52.040001,44.562328,15200
2006-11-15,52.200001,52.939999,52.200001,52.840000,45.247372,42200
2006-11-16,53.099998,53.139999,52.910000,53.119999,45.487137,12400
2006-11-17,53.099998,53.099998,52.790001,52.900002,45.298752,19600
2006-11-20,52.950001,52.950001,52.770000,52.790001,45.204559,6700
2006-11-21,52.950001,53.160000,52.799999,53.119999,45.487137,9700
2006-11-22,53.200001,53.200001,53.009998,53.160000,45.521385,13800
2006-11-24,52.849998,53.139999,52.849998,53.099998,45.469997,1800
2006-11-27,53.000000,53.000000,51.900002,51.900002,44.442436,23700
2006-11-28,51.900002,52.189999,51.689999,52.189999,44.690773,8600
2006-11-29,52.450001,52.990002,52.450001,52.990002,45.375809,6000
2006-11-30,52.950001,52.980000,52.290001,52.799999,45.213112,29700
2006-12-01,53.000000,53.000000,52.250000,52.619999,45.058979,16600
2006-12-04,52.930000,53.590000,52.930000,53.480000,45.795406,54400
2006-12-05,53.400002,53.740002,53.400002,53.730000,46.009483,14800
2006-12-06,53.900002,53.900002,53.520000,53.840000,46.103687,18700
2006-12-07,54.000000,54.060001,53.560001,53.599998,45.898159,17200
2006-12-08,53.599998,53.680000,53.340000,53.509998,45.821079,10100
2006-12-11,53.599998,53.639999,53.410000,53.450001,45.769730,6500
2006-12-12,53.299999,53.389999,53.020000,53.200001,45.555645,6500
2006-12-13,53.500000,53.549999,53.119999,53.180000,45.538517,46600
2006-12-14,53.200001,53.349998,53.090000,53.139999,45.504265,11700
2006-12-15,53.450001,53.520000,53.360001,53.360001,45.692642,5100
2006-12-18,53.349998,53.380001,52.700001,52.700001,45.127472,35300
2006-12-19,52.599998,53.270000,52.599998,53.270000,45.615593,15500
2006-12-20,53.009998,53.580002,53.009998,53.549999,45.915680,18900
2006-12-21,53.650002,53.689999,53.200001,53.369999,45.761337,21600
2006-12-22,53.349998,53.349998,52.860001,52.970001,45.418365,6300
2006-12-26,53.000000,53.439999,53.000000,53.439999,45.821354,10700
